Mainnet
Symbol	Name	Privkey	Pubkey	P2SH	Ext Privkey	Ext Pubkey	Bip44	Bech32
$PAC	PACcoin - Mainnet	204	55	10				
1337	Elite - Mainnet	176	48	28				
42	42-coin - Mainnet	136	8	20				
ABJC	Abjcoin Commerce - Mainnet	151	23	85				
ACC	AdCoin - Mainnet	176	23	5			161	
ACES	Aces - Mainnet	151	23	85				
ACP	AnarchistsPrime - Mainnet	128	0	5				
ADC	AudioCoin - Mainnet	151	23	125				
ADZ	Adzcoin - Mainnet	148	20	5				
AIB	Advanced Internet Blocks - Mainnet	0	0	0			55	
ALL	Allion - Mainnet	154	26	8				
ALQO	ALQO - Mainnet	193	23	16				
AMMO	Ammo Reloaded - Mainnet	142	14	30				
AMS	AmsterdamCoin - Mainnet	212	23	13				
ANI	Animecoin - Mainnet	151	23	9				
ANTX	Antimatter - Mainnet	203	75	85				
APR	APR Coin - Mainnet	46	12	6				
ARB	ARbit - Mainnet	151	23	28				
ARC	Advanced Technology Coin - Mainnet	176	23	8				
ARCO	AquariusCoin - Mainnet	151	23	5				
ARG	Argentum - Mainnet	151	23	5			45	
ASAFE2	AllSafe - Mainnet	151	23	85				
ATC	Arbitracoin - Mainnet	155	23	5				
AU	AurumCoin - Mainnet	128	0	5				
AUR	Auroracoin - Mainnet	176	23	5			85	
AV	AvatarCoin - Mainnet	151	23	41				
AXIOM	Axiom - Mainnet	153	23	85				
BAY	BitBay - Mainnet	153	25	85				
BCA	Bitcoin Atom - Mainnet	128	23	10			185	bca
BCC	BitConnect - Mainnet	146	18	85				
BCD	Bitcoin Diamond - Mainnet	128	0	5			999	
BCF	Bitcoin Fast - Mainnet	153	25	8				
BCH	Bitcoin Cash - Mainnet	128	0	5			145	
BCI	Bitcoin Interest - Mainnet	128	102	23				
BCO	BridgeCoin - Mainnet	176	27	5			162	
BENJI	BenjiRolls - Mainnet	383	255	253				
BERN	BERNcash - Mainnet	153	25	85				
BIO	BioCoin - Mainnet	153	25	20			154	
BIOB	BioBar - Mainnet	153	25	50				
BIRDS	Birds - Mainnet	153	25	85				
BITG	Bitcoin Green - Mainnet	46	38	6			222	
BITOK	Bitok - Mainnet	125	25	191				
BITS	Bitstar - Mainnet	153	25	8				
BLAZR	BlazerCoin - Mainnet	153	25	125				
BLK	BlackCoin - Mainnet	153	25	85			10	
BLOCK	Blocknet - Mainnet	154	26	28			328	
BLU	BlueCoin - Mainnet	176	26	28				
BOAT	BOAT - Mainnet	153	25	50				
BOLI	Bolivarcoin - Mainnet	213	85	5				
BRO	Bitradio - Mainnet	128	26	102				
BSC	BowsCoin - Mainnet	153	25	5				
BSD	BitSend - Mainnet	204	102	5			91	
BSR	BitSoar - Mainnet	154	26	5				
BSTY	GlobalBoost-Y - Mainnet	205	77	139				
BTA	Bata - Mainnet	188	25	5			89	
BTB	BitBar - Mainnet	153	25	30				
BTC	Bitcoin - Mainnet	128	0	5			0	bc
BTCD	BitcoinDark - Mainnet	188	60	85			52	
BTCP	Bitcoin Private - Mainnet	128	4901	5039			183	
BTCR	Bitcurrency - Mainnet	153	25	8				
BTCZ	BitcoinZ - Mainnet	128	7352	7357			177	
BTDX	Bitcloud - Mainnet	153	25	5			218	
BTG	Bitcoin Gold - Mainnet	128	38	23			156	
BTGEM	Bitgem - Mainnet	226	98	8				
